Date,Open,High,Low,Close,Volume
2025-01-31 17:00:00,2807.49,2809.56,2807.34,2809.22,640
2025-01-31 17:05:00,2809.12,2809.95,2805.53,2806.55,902
2025-01-31 17:10:00,2806.57,2807.39,2802.95,2806.59,1604
2025-01-31 17:15:00,2806.6,2812.76,2803.74,2811.07,2040
2025-01-31 17:20:00,2811.08,2812.16,2808.29,2808.98,1859
2025-01-31 17:25:00,2809.01,2809.37,2806.21,2807.91,1688
2025-01-31 17:30:00,2807.9,2809.94,2807.23,2808.88,1635
2025-01-31 17:35:00,2808.89,2812.47,2808.2,2812.28,1607
2025-01-31 17:40:00,2812.23,2816.03,2812.23,2813.76,2055
2025-01-31 17:45:00,2813.65,2816.28,2811.33,2812.85,2163
2025-01-31 17:50:00,2812.8,2813.29,2809.42,2810.4,1613
2025-01-31 17:55:00,2810.39,2810.56,2808.07,2808.61,1529
2025-01-31 18:00:00,2808.6,2808.81,2806.53,2806.75,1237
2025-01-31 18:05:00,2806.76,2808.36,2805.79,2807.04,1334
2025-01-31 18:10:00,2806.99,2807.44,2805.17,2805.3,1150
2025-01-31 18:15:00,2805.26,2805.59,2801.61,2801.86,1246
2025-01-31 18:20:00,2801.83,2804.34,2799.17,2802.75,2289
2025-01-31 18:25:00,2802.78,2802.97,2798.61,2799.81,2239
2025-01-31 18:30:00,2799.72,2799.94,2795.37,2796.68,1929
2025-01-31 18:35:00,2796.49,2801.68,2796.36,2801.12,1994
2025-01-31 18:40:00,2801.15,2803.14,2800.23,2802.19,1969
2025-01-31 18:45:00,2802.14,2802.31,2799.57,2800.41,1454
2025-01-31 18:50:00,2800.45,2801.0,2797.65,2798.78,1419
2025-01-31 18:55:00,2798.76,2799.54,2798.11,2799.05,1249
2025-01-31 19:00:00,2798.95,2799.18,2797.64,2798.04,1389
2025-01-31 19:05:00,2798.03,2798.88,2797.07,2798.21,1719
2025-01-31 19:10:00,2798.2,2800.98,2797.69,2800.79,1285
2025-01-31 19:15:00,2800.78,2801.07,2798.96,2799.64,935
2025-01-31 19:20:00,2799.68,2801.56,2799.6,2801.43,892
2025-01-31 19:25:00,2801.45,2801.81,2800.51,2801.72,901
2025-01-31 19:30:00,2801.74,2802.89,2800.04,2800.64,799
2025-01-31 19:35:00,2800.58,2800.99,2799.44,2800.38,937
2025-01-31 19:40:00,2800.39,2800.39,2796.31,2796.67,1017
2025-01-31 19:45:00,2796.65,2797.74,2795.57,2797.71,1262
2025-01-31 19:50:00,2797.68,2798.1,2796.35,2797.28,1200
2025-01-31 19:55:00,2797.25,2797.56,2795.32,2796.37,1344
2025-01-31 20:00:00,2796.33,2796.4,2794.21,2794.73,1570
2025-01-31 20:05:00,2794.76,2796.67,2794.56,2796.31,1486
2025-01-31 20:10:00,2796.32,2797.53,2796.27,2797.23,1274
2025-01-31 20:15:00,2797.26,2797.49,2795.68,2796.71,1028
2025-01-31 20:20:00,2796.72,2797.14,2795.93,2796.86,998
2025-01-31 20:25:00,2796.92,2797.24,2796.16,2797.14,970
